"pH","Leaf_litter","Understorey","Canopy","habitat"
2.7,0.440151515151515,0.0896345667662606,9,"scrub"
2.8,0.396969696969697,0.202482188002758,7.07,"scrub"
3,0.243181818181818,0.317168467019076,20.91,"scrub"
2.8,1,0.0353941622615491,12.72,"woodland"
2.7,0.379545454545455,0.0556193978395771,12.58,"woodland"
2.7,0.33030303030303,0.240864169156516,15.14,"woodland"
2.8,0.587878787878788,0.0475752700528614,9.49,"woodland"
2.8,0.184848484848485,0.170535509078373,4.53,"scrub"
2.8,0.807575757575758,0.0411399678234888,10.53,"woodland"
2.8,0.467424242424242,0.757756837508619,11.89,"scrub"
2.7,0.21969696969697,0.212135141346817,7.5,"woodland"
2.9,0.715909090909091,0.285681452539646,8.63,"woodland"
2.9,0.931060606060606,0.0278096989197886,6.48,"woodland"
3.1,0.0765151515151515,0.677775224086417,5.55,"scrub"
3.1,0.203030303030303,0.0896345667662606,2.57,"scrub"
3,0.156060606060606,0.356469777062744,3.7,"scrub"
3.3,0.107575757575758,0.700068949666743,5.25,"scrub"
2.9,0.287878787878788,1,5.97,"scrub"
2.9,0.213636363636364,0.727418984141577,6.43,"scrub"
3,0.265909090909091,0.52194897724661,7.51,"scrub"
2.9,0.2,0.250057458055619,6.13,"scrub"
3.2,0.35530303030303,0.386577798207309,10.25,"scrub"
3.6,0.190151515151515,0.582854516203172,12.63,"scrub"
3,0.208333333333333,0.0822799356469777,7.44,"woodland"
