"species","terrain","height","galls"
"pedunculate oak","lowland",14.1,46
"pedunculate oak","lowland",16.1,69
"pedunculate oak","lowland",17.7,68
"pedunculate oak","lowland",17.3,65
"pedunculate oak","lowland",24.2,151
"pedunculate oak","lowland",17.2,56
"pedunculate oak","lowland",17.8,75
"pedunculate oak","lowland",15.5,41
"pedunculate oak","lowland",18.1,68
"pedunculate oak","lowland",19.7,64
"pedunculate oak","lowland",22.1,102
"pedunculate oak","lowland",19.7,82
"pedunculate oak","lowland",18.3,92
"pedunculate oak","lowland",21.6,97
"pedunculate oak","lowland",15.2,54
"sessile oak","lowland",24.5,212
"sessile oak","lowland",21.9,168
"sessile oak","lowland",24.2,224
"sessile oak","lowland",24.3,201
"sessile oak","lowland",23.9,193
"sessile oak","lowland",26.2,252
"sessile oak","lowland",20.2,145
"sessile oak","lowland",22,180
"sessile oak","lowland",22.7,179
"sessile oak","lowland",20.4,135
"sessile oak","lowland",24.4,194
"sessile oak","lowland",25.8,248
"sessile oak","lowland",20.3,136
"sessile oak","lowland",24.8,212
"sessile oak","lowland",25.6,254
"pedunculate oak","upland",16,32
"pedunculate oak","upland",16.5,37
"pedunculate oak","upland",14.9,34
"pedunculate oak","upland",14.7,25
"pedunculate oak","upland",14.3,28
"pedunculate oak","upland",15,31
"pedunculate oak","upland",12.4,26
"pedunculate oak","upland",17.4,51
"pedunculate oak","upland",18.8,50
"pedunculate oak","upland",16.8,41
"pedunculate oak","upland",10,14
"pedunculate oak","upland",16.6,31
"pedunculate oak","upland",11.5,24
"pedunculate oak","upland",18.2,36
"pedunculate oak","upland",15.5,36
"sessile oak","upland",23.8,120
"sessile oak","upland",19.9,87
"sessile oak","upland",16.6,63
"sessile oak","upland",18.2,60
"sessile oak","upland",19,84
"sessile oak","upland",22.7,110
"sessile oak","upland",21.4,101
"sessile oak","upland",21.8,105
"sessile oak","upland",17.9,71
"sessile oak","upland",16.1,58
"sessile oak","upland",18.4,77
"sessile oak","upland",18.8,81
"sessile oak","upland",18.1,57
"sessile oak","upland",20.5,78
"sessile oak","upland",17.4,56
