ID,Expert_Class,Location,Drain,Bare_Peat,Browsing,Damaged_Ground,Erosion,Sphagnum_Damage
p1,Natural,Ridge,5.2,3.4,1.8,4.2,7.4,0.4
p2,Natural,Ridge,3.97,0.02,3.91,4.78,3.95,1.56
p3,Natural,Ridge,3.92,0.23,0.33,2.52,0.97,1.52
p4,Natural,Ridge,2.1,0.38,1.31,3.94,1.26,1.8
p5,Natural,Ridge,2.08,2.7,0.66,1.52,2.81,1.31
p6,Natural,Plateau,1.5,2.13,0.58,4.76,1.04,1.11
p7,Natural,Plateau,4.14,4.93,2.41,3.82,3.67,0.27
p8,Natural,Plateau,4.59,0.43,1.22,1.82,4.77,0.43
p9,Natural,Plateau,1.06,3.45,2,4.35,0.34,1.81
p10,Natural,Plateau,4.93,4.49,3.23,4.23,3.15,0.72
p11,Impacted,Plateau,4.4,4,3.4,6.8,5.2,2
p12,Impacted,Plateau,1.8,5.8,8.2,13,5.8,3.2
p13,Impacted,Plateau,4.6,7.4,2.8,7.6,9.8,3.8
p14,Impacted,Ridge,3.4,12.4,4.2,5.2,16.8,0.8
p15,Impacted,Ridge,3,19.2,1.4,8,14,0.6
p16,Impacted,Ridge,5,15.8,3,8.8,23,0
p17,Impacted,Ridge,2.2,15.4,2.2,9,15.2,0.6
p18,Impacted,Ridge,4,14,3,8,16,0
p19,Impacted,Plateau,3.2,9.2,3.4,8.2,12.2,5.2
p20,Impacted,Plateau,4.4,13.4,1.2,5.2,20.2,8.2
p21,Degraded,Ridge,12.8,35.8,9.6,24.6,39.6,22
p22,Degraded,Ridge,10.77,35.18,7.33,22.82,33,20.83
p23,Degraded,Ridge,12.3,33.63,6.87,20.8,31.77,20.65
p24,Degraded,Ridge,12.87,37.49,6.24,20.91,31.59,17.84
p25,Degraded,Ridge,11.29,30.32,6.26,21.82,31.37,25.2
p26,Degraded,Plateau,10.97,34.37,8.66,18.97,24.11,17.96
p27,Degraded,Plateau,7.98,35.04,5.96,18.08,24.62,9.56
p28,Degraded,Plateau,12.42,33.21,8.42,20.28,26.13,10.59
p29,Degraded,Plateau,10.65,32.46,7,19.76,28.24,7.46
p30,Degraded,Plateau,8.61,28.11,6.41,18.17,27.14,9.37
